ID_SCENARIO,vento_medio,std_vento,zavorra,angolo_rampa,delay_secondi,SIM_N,ANGOLO_ACC_C6,INCLINAZIONE
V2.0_T0.15_Z0,2.0,0.3,0,-7.1,0.8,4,,
V2.0_T0.15_Z0,2.0,0.3,0,-7.1,0.8,5,,
V2.0_T0.15_Z0,2.0,0.3,0,-7.1,0.8,6,,
V2.0_T0.15_Z0,2.0,0.3,0,-7.1,0.8,7,,
V2.0_T0.15_Z0,2.0,0.3,0,-7.1,0.8,8,,
V2.0_T0.15_Z0,2.0,0.3,0,-7.1,0.8,9,,
V2.0_T0.15_Z0,2.0,0.3,0,-7.1,0.8,10,,
V2.0_T0.15_Z20,2.0,0.3,20,-7.1,0.9,1,,
V2.0_T0.15_Z20,2.0,0.3,20,-7.1,0.9,2,,
V2.0_T0.15_Z20,2.0,0.3,20,-7.1,0.9,3,,
V2.0_T0.15_Z20,2.0,0.3,20,-7.1,0.9,4,,
V2.0_T0.15_Z20,2.0,0.3,20,-7.1,0.9,5,,
V2.0_T0.15_Z20,2.0,0.3,20,-7.1,0.9,6,,
V2.0_T0.15_Z20,2.0,0.3,20,-7.1,0.9,7,,
V2.0_T0.15_Z20,2.0,0.3,20,-7.1,0.9,8,,
V2.0_T0.15_Z20,2.0,0.3,20,-7.1,0.9,9,,
V2.0_T0.15_Z20,2.0,0.3,20,-7.1,0.9,10,,
V2.0_T0.15_Z40,2.0,0.3,40,-8.2,1.5,1,,
V2.0_T0.15_Z40,2.0,0.3,40,-8.2,1.5,2,,
V2.0_T0.15_Z40,2.0,0.3,40,-8.2,1.5,3,,
V2.0_T0.15_Z40,2.0,0.3,40,-8.2,1.5,4,,
V2.0_T0.15_Z40,2.0,0.3,40,-8.2,1.5,5,,
V2.0_T0.15_Z40,2.0,0.3,40,-8.2,1.5,6,,
V2.0_T0.15_Z40,2.0,0.3,40,-8.2,1.5,7,,
V2.0_T0.15_Z40,2.0,0.3,40,-8.2,1.5,8,,
V2.0_T0.15_Z40,2.0,0.3,40,-8.2,1.5,9,,
V2.0_T0.15_Z40,2.0,0.3,40,-8.2,1.5,10,,
